bertopic_id,bertopic_name,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,fusion_rule,api_ok,api_error
0,0_leg_end_wheel_connected,1,not_safety,"[llm_low] The abstract primarily describes a wheel-legged robot's mechanical structure and actuators, with only generic mentions of obstacle avoidance and stability control without explicit human-protection purpose.",1,not_safety,0.95,1,collision_protection,low_max,True,
1,1_humanoid robot_humanoid_joint_robot,1,not_safety,"[llm_low] The abstract describes a model-reference adaptive standing control algorithm for joint torque/angle accuracy, with no explicit human-protection or hazard-prevention purpose.",1,not_safety,0.9,1,force_control,low_max,True,
2,2_voice_user_emotion_expression,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
3,3_foot_robot_foot robot_leg,1,not_safety,"[llm_low] The abstract describes terrain-adaptive leg trajectory control for a quadruped robot to maintain locomotion stability and reduce mechanical impact, not a humanoid robot safety mechanism for protecting humans.",1,not_safety,0.95,1,force_control,low_max,True,
4,4_finger_thumb_palm_knuckle,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
5,5_learning_training_strategy_network,1,not_safety,"[llm_low] The abstract describes a reinforcement-learning-based gait control method for stable humanoid walking, which is a generic control/planning algorithm without explicit human-protection or hazard-prevention purpose.",1,not_safety,0.9,1,stability_balance,low_max,True,
6,6_network_learning_foot_strategy,0,not_safety,"[filtered] LLM(2, conf=0.75) without keyword support; treated as not_safety.",2,stability_balance,0.75,0,not_safety,filtered,True,
7,7_vehicle_lane_driving_lane changing,2,collision_protection,[keyword_fallback] Matched: collision,0,not_safety,0.95,2,collision_protection,keyword_fallback,True,
8,8_patient_medical_device_user,1,not_safety,"[llm_low] The abstract describes a psychological counseling/rehabilitation robot for emotional state management, not a mechanism that protects humans from physical robot hazards.",1,not_safety,0.95,1,fault_detection,low_max,True,
9,9_hip_thigh_joint_second,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
10,10_grabbing_hand_task_humanoid,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1,not_safety,0.95,0,not_safety,filtered,True,
11,11_toy_left_doll_game,0,not_safety,"[filtered] LLM(0, conf=0.98) without keyword support; treated as not_safety.",0,not_safety,0.98,0,not_safety,filtered,True,
12,12_bearing_shaft_motor_output,1,not_safety,"[llm_low] Primarily a mechanical integrated joint for a humanoid robot arm, mentioning an electromagnetic safety brake only as a structural component without explicit human-protection purpose.",1,not_safety,0.8,1,force_control,low_max,True,
13,13_connecting_shell_piece_second,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
14,14_training_target_target body_plate,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
15,15_point_point cloud_cloud_map,1,not_safety,"[llm_low] Point-cloud target following and navigation for a legged robot, with generic obstacle avoidance and process stability mentioned, but no explicit humanoid robot safety mechanism for human protection.",1,not_safety,0.9,1,stability_balance,low_max,True,
16,16_test_testing_plate_device,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,low_max,True,
17,17_data_task_semantic_humanoid robot,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1,not_safety,0.95,0,not_safety,filtered,True,
18,18_plate_bridge_ladder_rod,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,1.0,1,stability_balance,low_max,True,
