bertopic_id,bertopic_name,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,fusion_rule,api_ok,api_error
0,0_leg_end_wheel_connected,2,stability_balance,"[llm_low] The abstract mentions stability control and an obstacle avoidance module, but the dominant content is mechanical leg linkage, wheels, motors, and structural hardware with no explicit human-protection purpose.",2,stability_balance,0.75,1,collision_protection,low_max,True,
1,1_humanoid robot_humanoid_joint_robot,2,stability_balance,"[llm_low] Standing balance control indirectly relates to fall prevention, but the abstract frames it as a model-reference adaptive control method for joint accuracy and response time, not explicitly for human protection or hazard prevention.",2,stability_balance,0.7,1,force_control,low_max,True,
2,2_voice_user_emotion_expression,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
3,3_foot_robot_foot robot_leg,1,not_safety,"[llm_low] Quadruped robot terrain-adaptive foot trajectory control focused on locomotion stability and reducing self-impact, with no explicit humanoid robot or human-protection safety purpose.",1,not_safety,0.95,1,force_control,low_max,True,
4,4_finger_thumb_palm_knuckle,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
5,5_learning_training_strategy_network,2,not_safety,[llm_low] The abstract describes a reinforcement learning framework for stable gait control without explicitly framing it as a human-protection or hazard-prevention safety mechanism.,2,not_safety,0.9,1,stability_balance,low_max,True,
6,6_network_learning_foot_strategy,0,not_safety,"[filtered] LLM(2, conf=0.70) without keyword support; treated as not_safety.",2,stability_balance,0.7,0,not_safety,filtered,True,
7,7_vehicle_lane_driving_lane changing,2,collision_protection,[keyword_fallback] Matched: collision,0,not_safety,0.95,2,collision_protection,keyword_fallback,True,
8,8_patient_medical_device_user,1,not_safety,"[llm_low] The abstracts describe a medical/psychological counseling device for patient rehabilitation, not a mechanism that protects humans from robot hazards.",1,not_safety,0.9,1,fault_detection,low_max,True,
9,9_hip_thigh_joint_second,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1,not_safety,0.95,0,not_safety,filtered,True,
10,10_grabbing_hand_task_humanoid,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1,not_safety,0.95,0,not_safety,filtered,True,
11,11_toy_left_doll_game,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
12,12_bearing_shaft_motor_output,2,not_safety,"[llm_low] Patent describes an integrated mechanical joint for a humanoid robot with an electromagnetic brake, but focuses on structural integration, compactness and load-bearing rather than explicit human-protection or hazard-prevention purpose.",2,not_safety,0.85,1,force_control,low_max,True,
13,13_connecting_shell_piece_second,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1,not_safety,0.95,0,not_safety,filtered,True,
14,14_training_target_target body_plate,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
15,15_point_point cloud_cloud_map,2,collision_protection,"[llm_low] The abstract focuses on point-cloud-based target following and navigation with obstacle avoidance to ensure process stability and safety, but does not explicitly address protection of humans or hazardous contact in humanoid robots.",2,collision_protection,0.75,1,stability_balance,low_max,True,
16,16_test_testing_plate_device,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,0.95,1,stability_balance,low_max,True,
17,17_data_task_semantic_humanoid robot,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
18,18_plate_bridge_ladder_rod,1,stability_balance,[keyword_low] Matched: stability,0,not_safety,1.0,1,stability_balance,low_max,True,
19,19_joint_wrist_connecting_knee joint,0,not_safety,"[filtered] LLM(0, conf=0.98) without keyword support; treated as not_safety.",0,not_safety,0.98,0,not_safety,filtered,True,
20,20_layer_skin_textile_bionic,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
21,21_decision_semantic information_semantic_information,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
22,22_force_external force_human robot_robot,5,safe_control,"[llm_low] Abstracts explicitly describe detecting external forces on a human-collaborative robot and commanding retreat/stop operations to reduce forces below safety thresholds, directly protecting humans during physical interaction.",5,safe_control,0.98,1,force_control,low_max,True,
23,23_image_vehicle_images_camera,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
24,24_massage_mi_bed_mi mi,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
25,25_industrial robot_industrial_tool_work,0,not_safety,"[filtered] LLM(2, conf=0.85) without keyword support; treated as not_safety.",2,risk_assessment,0.85,0,not_safety,filtered,True,
26,26_face_image_video_frame,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
27,27_path_navigation_obstacle_point,3,safe_control,"[agreement] LLM(4) + keyword(2): Abstract explicitly describes determining an optimal safe path through multi-dimensional safety assessment of fall risk, collision risk, and dynamic obstacle prediction.",4,safe_control,0.85,2,collision_protection,agreement,True,
28,28_tobacco_robotic_operation_shelf,1,not_safety,"[llm_low] Vision-force impedance control is used to improve flexible assembly quality and contact dynamics in tobacco/manufacturing operations, not to explicitly protect humans from a humanoid robot hazard.",1,not_safety,0.9,1,force_control,low_max,True,
29,29_module_intelligent_service_display,3,collision_protection,"[keyword_fallback] Matched: anti-collision, obstacle avoidance, collision, emergency stop",1,not_safety,0.85,3,collision_protection,keyword_fallback,True,
30,30_inspection_detection_disease_tunnel,1,thermal_management,[keyword_low] Matched: thermal,0,not_safety,0.95,1,thermal_management,low_max,True,
31,31_lamp_light_display_led,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
32,32_action_data_sequence_motion,2,safe_control,"[agreement] LLM(3) + keyword(2): Balance control for stability and self-collision avoidance are safety-related, but the primary purpose is human motion imitation/mapping.",3,safe_control,0.75,2,collision_protection,agreement,True,
33,33_path_grid_map_point,2,collision_protection,[keyword_fallback] Matched: obstacle avoidance,1,not_safety,0.8,2,collision_protection,keyword_fallback,True,
34,34_commands_position sensor_position velocity_velocity,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
35,35_image_chess_point cloud_cloud,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
36,36_welding_welding robot_straightening_mechanical,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
37,37_foot_sole_heel_arch,1,not_safety,"[llm_low] The abstract describes a bionic humanoid foot with mechanical structure, elastic buffers, and ground-contact sensors primarily for gait, terrain adaptation, and energy efficiency, not an explicit human-protection safety mechanism.",1,not_safety,0.9,1,force_control,low_max,True,
38,38_control_robot_core_nios,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
39,39_picking_mechanism_device_cake,0,not_safety,"[filtered] LLM(0, conf=0.98) without keyword support; treated as not_safety.",0,not_safety,0.98,0,not_safety,filtered,True,
40,40_wheel_leg_wheel leg_wheel legged,1,stability_balance,"[keyword_low] Matched: balance control, balance",0,not_safety,0.95,1,stability_balance,low_max,True,
41,41_image_detection_human_human shape,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
42,42_service_user_information_module,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
43,43_monitoring_image_camera_area,1,thermal_management,[keyword_low] Matched: thermal,0,not_safety,0.95,1,thermal_management,low_max,True,
44,44_control_module_communication_humanoid robot,1,fail_safe_emergency,"[keyword_low] Matched: emergency stop, stability",0,not_safety,0.95,1,fail_safe_emergency,low_max,True,
45,45_legged robot_legged_desired trajectory_trajectory,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
46,46_module_signal_household_internet things,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
47,47_fault_health_state_data,3,fault_detection,"[keyword_fallback] Matched: fault diagnosis, diagnosis",1,not_safety,0.8,3,fault_detection,keyword_fallback,True,
48,48_rehabilitation_exoskeleton_training_module,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
