bertopic_id,bertopic_name,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,fusion_rule,api_ok,api_error
0,0_leg_end_wheel_connected,1,not_safety,"[llm_low] The abstract primarily describes the mechanical structure and drive system of a wheel-legged robot, mentioning an obstacle avoidance detection module only in passing, with no explicit humanoid-robot or human-protection safety purpose.",1,not_safety,0.85,1,collision_protection,low_max,True,
1,1_humanoid robot_humanoid_joint_robot,2,stability_balance,"[llm_low] The abstract describes a model-reference adaptive control method for humanoid robot standing under variable loads, which is indirectly related to fall prevention, but frames benefits as control accuracy and response time rather than explicitly protecting humans or preventing hazardous contact.",2,stability_balance,0.8,1,force_control,low_max,True,
2,2_voice_user_emotion_expression,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
3,3_foot_robot_foot robot_leg,1,not_safety,"[llm_low] Terrain-adaptive foot trajectory control for quadruped robot stability and reduced mechanical impact, not explicitly for human protection or hazard prevention.",1,not_safety,0.85,1,force_control,low_max,True,
4,4_finger_thumb_palm_knuckle,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0,not_safety,0.95,0,not_safety,filtered,True,
5,5_learning_training_strategy_network,1,not_safety,"[llm_low] The abstract describes a reinforcement-learning gait control method for stable walking, but does not explicitly frame stability or training as a human-protection or hazard-prevention safety mechanism.",1,not_safety,0.9,1,stability_balance,low_max,True,
6,6_network_learning_foot_strategy,0,not_safety,"[filtered] LLM(1, conf=0.90) without keyword support; treated as not_safety.",1,not_safety,0.9,0,not_safety,filtered,True,
7,7_vehicle_lane_driving_lane changing,2,collision_protection,[keyword_fallback] Matched: collision,0,not_safety,0.95,2,collision_protection,keyword_fallback,True,
8,8_patient_medical_device_user,1,fault_detection,[keyword_low] Matched: diagnosis,0,not_safety,0.95,1,fault_detection,low_max,True,
9,9_hip_thigh_joint_second,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1,not_safety,0.95,0,not_safety,filtered,True,
10,10_grabbing_hand_task_humanoid,0,not_safety,"[filtered] LLM(1, conf=0.85) without keyword support; treated as not_safety.",1,not_safety,0.85,0,not_safety,filtered,True,
