bertopic_id,bertopic_name,safety_score,safety_category,rationale,llm_score,llm_category,llm_confidence,keyword_score,keyword_category,fusion_rule,api_ok,api_error
0,0_leg_end_wheel_connected,2,stability_balance,"[llm_low] Mentions stability control and an obstacle-avoidance detection module, but the abstract is dominated by mechanical leg/wheel structure and efficient locomotion control with no explicit human-protection purpose.",2.0,stability_balance,0.75,1,collision_protection,low_max,True,
1,1_humanoid robot_humanoid_joint_robot,1,not_safety,"[llm_low] The abstract describes a model-reference adaptive control method for variable-load standing of a humanoid robot, focusing on joint torque feedforward and control accuracy without an explicit human-protection or hazard-prevention purpose.",1.0,not_safety,0.95,1,force_control,low_max,True,
2,2_voice_user_emotion_expression,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,filtered,True,
3,3_foot_robot_foot robot_leg,1,not_safety,"[llm_low] Quadruped robot terrain-adaptive foot/leg control improves robot stability and reduces impact on robot parts, but does not explicitly protect humans or address humanoid-robot hazards.",1.0,not_safety,0.9,1,force_control,low_max,True,
4,4_finger_thumb_palm_knuckle,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,filtered,True,
5,5_learning_training_strategy_network,1,not_safety,[llm_low] The abstract describes a reinforcement-learning gait control method for stable walking; it mentions human interaction scenarios but does not explicitly describe a safety mechanism protecting humans or preventing hazardous contact.,1.0,not_safety,0.95,1,stability_balance,low_max,True,
6,6_network_learning_foot_strategy,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1.0,not_safety,0.95,0,not_safety,filtered,True,
7,7_vehicle_lane_driving_lane changing,2,collision_protection,[keyword_fallback] Matched: collision,0.0,not_safety,0.95,2,collision_protection,keyword_fallback,True,
8,8_patient_medical_device_user,1,fault_detection,[keyword_low] Matched: diagnosis,0.0,not_safety,0.95,1,fault_detection,low_max,True,
9,9_hip_thigh_joint_second,0,not_safety,"[filtered] LLM(1, conf=0.95) without keyword support; treated as not_safety.",1.0,not_safety,0.95,0,not_safety,filtered,True,
10,10_grabbing_hand_task_humanoid,0,not_safety,"[filtered] LLM(1, conf=0.85) without keyword support; treated as not_safety.",1.0,not_safety,0.85,0,not_safety,filtered,True,
11,11_toy_left_doll_game,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,filtered,True,
12,12_bearing_shaft_motor_output,2,fail_safe_emergency,"[llm_low] The abstract mentions an electromagnetic safety brake for rapid braking, but the topic is dominated by mechanical joint/actuator structure (motor, reducer, bearings, shaft, shell) without explicitly framing it as human protection.",2.0,fail_safe_emergency,0.6,1,force_control,low_max,True,
13,13_connecting_shell_piece_second,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,filtered,True,
14,14_training_target_target body_plate,0,not_safety,"[filtered] LLM(0, conf=0.95) without keyword support; treated as not_safety.",0.0,not_safety,0.95,0,not_safety,filtered,True,
15,15_point_point cloud_cloud_map,2,collision_protection,"[llm_low] The abstract mentions autonomous obstacle avoidance to ensure 'stability and safety of the following process,' but the topic is primarily a target-following/navigation system for a legged robot rather than a humanoid-specific human-protection safety mechanism.",2.0,collision_protection,0.75,1,stability_balance,low_max,True,
16,16_test_testing_plate_device,1,stability_balance,[keyword_low] Matched: stability,0.0,not_safety,0.95,1,stability_balance,low_max,True,
